actual_load_g,method,metric,unit,mean,sd,n_captures
560.0,FIT_PRESS,variance,g^2,29241.888868799506,,1
560.0,FIT_PRESS,iqr,g,144.28449508607918,,1
560.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,19.90721736217961,,1
630.0,LINEAR,mean,g,2547.5174952906773,,1
630.0,LINEAR,bias_g,g,1917.5174952906773,,1
630.0,LINEAR,mae_g,g,1968.7211298343614,,1
630.0,LINEAR,rmse_g,g,2228.245605726064,,1
630.0,LINEAR,std,g,1134.9912487291167,,1
630.0,LINEAR,cv_percent,%,44.5528343113346,,1
630.0,LINEAR,mad,g,771.7049082533333,,1
630.0,LINEAR,variance,g^2,1288205.1346916796,,1
630.0,LINEAR,iqr,g,1493.460432258497,,1
630.0,LINEAR,mean_estimate_absolute_percentage_error,%,304.3678563953456,,1
630.0,GAMMA,mean,g,731.9354325927682,,1
630.0,GAMMA,bias_g,g,101.93543259276814,,1
630.0,GAMMA,mae_g,g,625.5484360397267,,1
630.0,GAMMA,rmse_g,g,945.8714265496308,,1
630.0,GAMMA,std,g,940.3626551204375,,1
630.0,GAMMA,cv_percent,%,128.47617607325662,,1
630.0,GAMMA,mad,g,359.48969000890105,,1
630.0,GAMMA,variance,g^2,884281.9231451588,,1
630.0,GAMMA,iqr,g,908.3596032389474,,1
630.0,GAMMA,mean_estimate_absolute_percentage_error,%,16.180227395677484,,1
630.0,FIT_PRESS,mean,g,517.7383467109906,,1
630.0,FIT_PRESS,bias_g,g,-112.26165328900953,,1
630.0,FIT_PRESS,mae_g,g,167.18590737257,,1
630.0,FIT_PRESS,rmse_g,g,263.1635859053743,,1
630.0,FIT_PRESS,std,g,238.0176341101506,,1
630.0,FIT_PRESS,cv_percent,%,45.9725719800731,,1
630.0,FIT_PRESS,mad,g,85.96909817111623,,1
630.0,FIT_PRESS,variance,g^2,56652.39414739353,,1
630.0,FIT_PRESS,iqr,g,153.88506501625415,,1
630.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,17.819310045874527,,1
697.0,LINEAR,mean,g,2772.8041365698173,,1
697.0,LINEAR,bias_g,g,2075.8041365698173,,1
697.0,LINEAR,mae_g,g,2122.1187364849366,,1
697.0,LINEAR,rmse_g,g,2369.331894541341,,1
697.0,LINEAR,std,g,1142.2656490897798,,1
697.0,LINEAR,cv_percent,%,41.19532404127378,,1
697.0,LINEAR,mad,g,724.1929911361067,,1
697.0,LINEAR,variance,g^2,1304770.813090496,,1
697.0,LINEAR,iqr,g,1496.8801301383064,,1
697.0,LINEAR,mean_estimate_absolute_percentage_error,%,297.8198187331158,,1
697.0,GAMMA,mean,g,923.765599450091,,1
697.0,GAMMA,bias_g,g,226.76559945009114,,1
697.0,GAMMA,mae_g,g,723.063682652173,,1
697.0,GAMMA,rmse_g,g,1069.036547935982,,1
697.0,GAMMA,std,g,1044.7088128894684,,1
697.0,GAMMA,cv_percent,%,113.09241365032143,,1
697.0,GAMMA,mad,g,490.9152689515337,,1
697.0,GAMMA,variance,g^2,1091416.5037289222,,1
697.0,GAMMA,iqr,g,1189.4793676645304,,1
697.0,GAMMA,mean_estimate_absolute_percentage_error,%,32.53451928982656,,1
697.0,FIT_PRESS,mean,g,602.9001245831964,,1
697.0,FIT_PRESS,bias_g,g,-94.09987541680354,,1
697.0,FIT_PRESS,mae_g,g,192.96128469126592,,1
697.0,FIT_PRESS,rmse_g,g,363.109770876031,,1
697.0,FIT_PRESS,std,g,350.7048889767375,,1
697.0,FIT_PRESS,cv_percent,%,58.16964944553472,,1
697.0,FIT_PRESS,mad,g,108.54432873627923,,1
697.0,FIT_PRESS,variance,g^2,122993.91915218577,,1
697.0,FIT_PRESS,iqr,g,213.5898545708094,,1
