run_id,combo,module_count,connected_module_ids,load,record_kind,measurement_scope,quality_class,included_no_reported_supply_contact_fault,post_repair_record,independent_repeat_of_original_condition,retest_of_run_id,source_path,source_sha256,source_main_V,source_min_V,source_max_V,module_id,source_column,module_main_V,module_min_V,module_max_V,source_to_module_drop_mV,drop_basis,measured_module_ids,measured_module_count,complete_voltage_record
PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,M0+M1+M2,3,"M0,M1,M2",ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,SUPPLY_CONTACT_FAULT,False,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,3.276,3.276,3.277,M2,2,3.246,3.245,3.246,30.000,source_and_module_main_in_same_record,"M0,M1,M2",3,True
PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_VOLTAGE_RETEST_R1,M0+M1+M2,3,"M0,M1,M2",ZERO,MODULE_VOLTAGE_RETEST,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,True,False,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_VOLTAGE_RETEST_R1.yaml,9760ab4a02208163c9a1cd28ae637e52bebf29716b5970a76fc96ca114a03dfc,,,,M0,0,3.241,3.241,3.241,,unavailable_no_source_in_this_record,M0,1,False
PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,M0+M1+M3,3,"M0,M1,M3",ZERO,COMBINATION_VOLTAGE,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1.yaml,5b2c74f7f3098d0dda00b67e6722170919d59941eb3f3bf74e754bd298a4ec09,3.277,3.277,3.277,M0,0,3.241,3.241,3.241,36.000,source_and_module_main_in_same_record,"M0,M1,M3",3,True
PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,M0+M1+M3,3,"M0,M1,M3",ZERO,COMBINATION_VOLTAGE,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1.yaml,5b2c74f7f3098d0dda00b67e6722170919d59941eb3f3bf74e754bd298a4ec09,3.277,3.277,3.277,M1,1,3.248,3.247,3.248,29.000,source_and_module_main_in_same_record,"M0,M1,M3",3,True
PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,M0+M1+M3,3,"M0,M1,M3",ZERO,COMBINATION_VOLTAGE,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1.yaml,5b2c74f7f3098d0dda00b67e6722170919d59941eb3f3bf74e754bd298a4ec09,3.277,3.277,3.277,M3,3,3.249,3.249,3.249,28.000,source_and_module_main_in_same_record,"M0,M1,M3",3,True
PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1,M0+M2+M3,3,"M0,M2,M3",ZERO,COMBINATION_VOLTAGE,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1.yaml,7ac9267e6536148eef3d68ae21bd79fee309cc0779c33dacdeb5087682c4f47d,3.276,3.276,3.277,M0,0,3.241,3.241,3.241,35.000,source_and_module_main_in_same_record,"M0,M2,M3",3,True
PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1,M0+M2+M3,3,"M0,M2,M3",ZERO,COMBINATION_VOLTAGE,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1.yaml,7ac9267e6536148eef3d68ae21bd79fee309cc0779c33dacdeb5087682c4f47d,3.276,3.276,3.277,M2,2,3.242,3.242,3.242,34.000,source_and_module_main_in_same_record,"M0,M2,M3",3,True
PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1,M0+M2+M3,3,"M0,M2,M3",ZERO,COMBINATION_VOLTAGE,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1.yaml,7ac9267e6536148eef3d68ae21bd79fee309cc0779c33dacdeb5087682c4f47d,3.276,3.276,3.277,M3,3,3.244,3.244,3.244,32.000,source_and_module_main_in_same_record,"M0,M2,M3",3,True
PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,M1+M2+M3,3,"M1,M2,M3",MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml,4892e0d86e57c09da28d32627cf7ae4928f16b7b79963522a83846c2477c0423,3.276,3.276,3.276,M1,1,3.249,3.249,3.249,27.000,source_and_module_main_in_same_record,"M1,M2,M3",3,True
PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,M1+M2+M3,3,"M1,M2,M3",MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml,4892e0d86e57c09da28d32627cf7ae4928f16b7b79963522a83846c2477c0423,3.276,3.276,3.276,M2,2,3.243,3.243,3.243,33.000,source_and_module_main_in_same_record,"M1,M2,M3",3,True
PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,M1+M2+M3,3,"M1,M2,M3",MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml,4892e0d86e57c09da28d32627cf7ae4928f16b7b79963522a83846c2477c0423,3.276,3.276,3.276,M3,3,3.232,3.232,3.232,44.000,source_and_module_main_in_same_record,"M1,M2,M3",3,True
PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1,M1+M2+M3,3,"M1,M2,M3",ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,c05ab0823c9d26dc0956d827927022f30b82f7edac55885308bafad9ce9cd911,3.276,3.276,3.277,M1,1,3.249,3.248,3.249,27.000,source_and_module_main_in_same_record,"M1,M2,M3",3,True
