configuration_id,load,combo,module_count,configuration_kind,accepted_complete,same_record_complete,counts_as_additional_independent_run,simultaneous_new_acquisition_claimed,point_id,main_V,min_V,max_V,point_source_run_id,point_source_path,point_source_sha256,point_source_fields,photo_paths,photo_sha256,photo_original_references,photo_mapping_basis,point_acceptance_basis,source_reference_run_id,source_reference_main_V,source_to_point_drop_mV,drop_uses_same_record,drop_basis,quality_event_id
MAX:M2,MAX,M2,1,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.281,3.280,3.281,PS01_N1_F200_MAX_M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml,0e5661fb3f44c55ed5acd0b8eaf3f4f2d9262e9ebce7351a87bb39635f4a62a8,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
MAX:M2,MAX,M2,1,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M2,3.247,3.247,3.250,PS01_N1_F200_MAX_M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml,0e5661fb3f44c55ed5acd0b8eaf3f4f2d9262e9ebce7351a87bb39635f4a62a8,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N1_F200_MAX_M2_USB_RX_R1,3.281,34.000,True,source_and_module_main_in_same_record,
MAX:M2+M3,MAX,M2+M3,2,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.278,3.278,3.279,PS01_N2_F200_MAX_M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/PS01_N2_F200_MAX_M2-M3_USB_RX_R1.yaml,16702fb7acfa55949c2c84878861f02ecf076e32b994f91455267644b310b43a,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
MAX:M2+M3,MAX,M2+M3,2,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M2,3.245,3.244,3.245,PS01_N2_F200_MAX_M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/PS01_N2_F200_MAX_M2-M3_USB_RX_R1.yaml,16702fb7acfa55949c2c84878861f02ecf076e32b994f91455267644b310b43a,V_module2_avg_V;V_module2_min_V;V_module2_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N2_F200_MAX_M2-M3_USB_RX_R1,3.278,33.000,True,source_and_module_main_in_same_record,
MAX:M2+M3,MAX,M2+M3,2,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M3,3.246,3.245,3.246,PS01_N2_F200_MAX_M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/PS01_N2_F200_MAX_M2-M3_USB_RX_R1.yaml,16702fb7acfa55949c2c84878861f02ecf076e32b994f91455267644b310b43a,V_module3_avg_V;V_module3_min_V;V_module3_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N2_F200_MAX_M2-M3_USB_RX_R1,3.278,32.000,True,source_and_module_main_in_same_record,
MAX:M3,MAX,M3,1,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.280,3.280,3.280,PS01_N1_F200_MAX_M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,3a67413791ed758694a803890a0320e1a2b61ab25f2bf781d762e251fb88ae64,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
MAX:M3,MAX,M3,1,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M3,3.248,3.248,3.248,PS01_N1_F200_MAX_M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,3a67413791ed758694a803890a0320e1a2b61ab25f2bf781d762e251fb88ae64,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N1_F200_MAX_M3_USB_RX_R1,3.280,32.000,True,source_and_module_main_in_same_record,
ZERO:M0,ZERO,M0,1,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.280,3.280,3.281,PS01_N1_F200_ZERO_M0_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml,f452895420bd4a9bdaa1bf2bf39ca41d3da3bbf383eb1a983a2ba58468894ace,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
ZERO:M0,ZERO,M0,1,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M0,3.235,3.235,3.235,PS01_N1_F200_ZERO_M0_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml,f452895420bd4a9bdaa1bf2bf39ca41d3da3bbf383eb1a983a2ba58468894ace,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N1_F200_ZERO_M0_USB_RX_R1,3.280,45.000,True,source_and_module_main_in_same_record,
ZERO:M0+M1,ZERO,M0+M1,2,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.281,3.281,3.281,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
ZERO:M0+M1,ZERO,M0+M1,2,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M0,3.234,3.234,3.234,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,3.281,47.000,True,source_and_module_main_in_same_record,
ZERO:M0+M1,ZERO,M0+M1,2,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M1,3.252,3.252,3.252,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb,V_module1_avg_V;V_module1_min_V;V_module1_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,3.281,29.000,True,source_and_module_main_in_same_record,
ZERO:M0+M1+M2,ZERO,M0+M1+M2,3,USER_CONFIRMED_POINTWISE_CORRECTION,True,False,False,False,SOURCE,3.276,3.276,3.277,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,user_confirmed_unchanged,,,,,not_applicable_source_point,SUPPLY_CONTACT_M0_N3_ZERO_20260907
ZERO:M0+M1+M2,ZERO,M0+M1+M2,3,USER_CONFIRMED_POINTWISE_CORRECTION,True,False,False,False,M0,3.241,3.241,3.241,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_VOLTAGE_RETEST_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_VOLTAGE_RETEST_R1.yaml,9760ab4a02208163c9a1cd28ae637e52bebf29716b5970a76fc96ca114a03dfc,V_module0_avg_V;V_module0_min_V;V_module0_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/M0_new.jpg,5521ec820e006acc6dec84f64434c8bd08c5e1d58a7c2c19e581187f83ec7df4,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/M0_new.jpg,record_voltage_photo_evidence,post_connector_repair_retest,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,3.276,35.000,False,user_confirmed_unchanged_source_minus_retested_module_estimate_not_same_record,SUPPLY_CONTACT_M0_N3_ZERO_20260907
ZERO:M0+M1+M2,ZERO,M0+M1+M2,3,USER_CONFIRMED_POINTWISE_CORRECTION,True,False,False,False,M1,3.250,3.249,3.250,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,V_module1_avg_V;V_module1_min_V;V_module1_max_V,,,,not_mapped_in_original_record,user_confirmed_unchanged,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,3.276,26.000,True,source_and_module_main_in_same_record,SUPPLY_CONTACT_M0_N3_ZERO_20260907
ZERO:M0+M1+M2,ZERO,M0+M1+M2,3,USER_CONFIRMED_POINTWISE_CORRECTION,True,False,False,False,M2,3.246,3.245,3.246,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,V_module2_avg_V;V_module2_min_V;V_module2_max_V,,,,not_mapped_in_original_record,user_confirmed_unchanged,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,3.276,30.000,True,source_and_module_main_in_same_record,SUPPLY_CONTACT_M0_N3_ZERO_20260907
ZERO:M0+M1+M2+M3,ZERO,M0+M1+M2+M3,4,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.274,3.273,3.274,PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
ZERO:M0+M1+M2+M3,ZERO,M0+M1+M2+M3,4,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M0,3.240,3.240,3.240,PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,3.274,34.000,True,source_and_module_main_in_same_record,
