actual_load_g,record_count,LINEAR_unit,LINEAR_valid_count_min,LINEAR_valid_count_max,LINEAR_excluded_count_total,LINEAR_mean,LINEAR_mean_sd,LINEAR_mean_n,LINEAR_std,LINEAR_std_sd,LINEAR_std_n,LINEAR_cv_percent,LINEAR_cv_percent_sd,LINEAR_cv_percent_n,LINEAR_iqr,LINEAR_iqr_sd,LINEAR_iqr_n,LINEAR_mad,LINEAR_mad_sd,LINEAR_mad_n,LINEAR_variance,LINEAR_variance_sd,LINEAR_variance_n,GAMMA_unit,GAMMA_valid_count_min,GAMMA_valid_count_max,GAMMA_excluded_count_total,GAMMA_mean,GAMMA_mean_sd,GAMMA_mean_n,GAMMA_std,GAMMA_std_sd,GAMMA_std_n,GAMMA_cv_percent,GAMMA_cv_percent_sd,GAMMA_cv_percent_n,GAMMA_iqr,GAMMA_iqr_sd,GAMMA_iqr_n,GAMMA_mad,GAMMA_mad_sd,GAMMA_mad_n,GAMMA_variance,GAMMA_variance_sd,GAMMA_variance_n,FIT_PRESS_unit,FIT_PRESS_valid_count_min,FIT_PRESS_valid_count_max,FIT_PRESS_excluded_count_total,FIT_PRESS_mean,FIT_PRESS_mean_sd,FIT_PRESS_mean_n,FIT_PRESS_std,FIT_PRESS_std_sd,FIT_PRESS_std_n,FIT_PRESS_cv_percent,FIT_PRESS_cv_percent_sd,FIT_PRESS_cv_percent_n,FIT_PRESS_iqr,FIT_PRESS_iqr_sd,FIT_PRESS_iqr_n,FIT_PRESS_mad,FIT_PRESS_mad_sd,FIT_PRESS_mad_n,FIT_PRESS_variance,FIT_PRESS_variance_sd,FIT_PRESS_variance_n
697.0,1,g (variance: g^2; CV: %),255,255,1,2772.8041365698173,,1,1142.2656490897798,,1,41.19532404127378,,1,1496.8801301383064,,1,724.1929911361067,,1,1304770.813090496,,1,g (variance: g^2; CV: %),255,255,1,923.765599450091,,1,1044.7088128894684,,1,113.09241365032143,,1,1189.4793676645304,,1,490.9152689515337,,1,1091416.5037289222,,1,g (variance: g^2; CV: %),255,255,1,602.9001245831964,,1,350.7048889767375,,1,58.16964944553472,,1,213.5898545708094,,1,108.54432873627923,,1,122993.91915218577,,1
800.0,1,g (variance: g^2; CV: %),255,255,1,3033.6504999470485,,1,1083.5908884060038,,1,35.719041742775495,,1,1357.2625000121352,,1,660.0777412842376,,1,1174169.2134365127,,1,g (variance: g^2; CV: %),255,255,1,1148.7868178405474,,1,1131.2311283102038,,1,98.47180614734557,,1,1425.049651183293,,1,667.678611782261,,1,1279683.8656579766,,1,g (variance: g^2; CV: %),255,255,1,695.6538424957706,,1,332.73926119569336,,1,47.83115406966451,,1,225.1314642021814,,1,103.08766233766232,,1,110715.41594105585,,1
882.0,1,g (variance: g^2; CV: %),255,255,1,3269.432366129882,,1,1024.809862729776,,1,31.34519231370037,,1,1196.0829482909962,,1,590.9876434626017,,1,1050235.2547482222,,1,g (variance: g^2; CV: %),255,255,1,1389.5392390213258,,1,1194.1512581679197,,1,85.93864963532653,,1,1577.245163247011,,1,776.3023807013176,,1,1425997.2273840255,,1,g (variance: g^2; CV: %),255,255,1,817.3215775167761,,1,396.63531244441936,,1,48.528672600262794,,1,203.92382622053026,,1,102.72727272727275,,1,157319.57107788217,,1
966.0,1,g (variance: g^2; CV: %),255,255,1,3417.8181990076705,,1,993.8839915699089,,1,29.079486786584294,,1,1146.5481262982075,,1,542.1885806501195,,1,987805.3886989347,,1,g (variance: g^2; CV: %),255,255,1,1567.9703066231789,,1,1217.8585505013373,,1,77.67102127872235,,1,1688.636315374295,,1,839.8571266380579,,1,1483179.4490292182,,1,g (variance: g^2; CV: %),255,255,1,904.6572371492551,,1,415.0604038012488,,1,45.880404948639125,,1,241.55036338859873,,1,120.0690026954178,,1,172275.13880365572,,1
1035.0,1,g (variance: g^2; CV: %),255,255,1,3550.281983878627,,1,943.2775735304463,,1,26.569088816430586,,1,1039.885391372516,,1,499.64622902248675,,1,889772.5807254865,,1,g (variance: g^2; CV: %),255,255,1,1729.0079999497452,,1,1233.6572262493933,,1,71.35057942388065,,1,1705.5752856258446,,1,883.3493072591789,,1,1521910.1518773467,,1,g (variance: g^2; CV: %),255,255,1,971.8630057399624,,1,415.8400045094977,,1,42.787924023600745,,1,217.1981747066493,,1,99.67692307692312,,1,172922.90935045906,,1
1107.0,1,g (variance: g^2; CV: %),255,255,1,3658.321307365684,,1,897.5006789293661,,1,24.533128818464725,,1,997.3266883530964,,1,465.84737027450046,,1,805507.4686786731,,1,g (variance: g^2; CV: %),255,255,1,1870.3296041155995,,1,1241.4945723446874,,1,66.37838430257528,,1,1750.0230418944375,,1,863.7232575807109,,1,1541308.7731613184,,1,g (variance: g^2; CV: %),255,255,1,1031.0266828788986,,1,411.6076236883695,,1,39.92211167018999,,1,214.70745257452575,,1,102.29786036036046,,1,169420.83587838637,,1
1179.0,1,g (variance: g^2; CV: %),255,255,1,3771.5758523314626,,1,853.3542427798692,,1,22.625933461005538,,1,886.371345294785,,1,436.34259331549947,,1,728213.4636704039,,1,g (variance: g^2; CV: %),255,255,1,2035.8152973155204,,1,1248.338416555432,,1,61.31884450428897,,1,1711.8703121348062,,1,860.8112307324366,,1,1558348.8022481236,,1,g (variance: g^2; CV: %),255,255,1,1099.5632722562334,,1,406.76579153847337,,1,36.99339563277846,,1,172.33298992673986,,1,88.07142857142867,,1,165458.40916592078,,1
1249.0,1,g (variance: g^2; CV: %),255,255,1,3868.27464450752,,1,818.0724061064999,,1,21.14825035156341,,1,825.549339632722,,1,401.4197596683566,,1,669242.461632878,,1,g (variance: g^2; CV: %),255,255,1,2191.846158029403,,1,1254.3225272799398,,1,57.22675940028787,,1,1686.966665632449,,1,848.7536243602681,,1,1573325.0024419352,,1,g (variance: g^2; CV: %),255,255,1,1179.0336184048788,,1,436.0293147036859,,1,36.981923831280774,,1,195.64032200406973,,1,103.54047619047606,,1,190121.56328096593,,1
1319.0,1,g (variance: g^2; CV: %),255,255,1,3940.0873310932416,,1,777.476062394503,,1,19.732457609734745,,1,796.8603236959912,,1,388.1992141366627,,1,604469.027596461,,1,g (variance: g^2; CV: %),255,255,1,2305.36009296767,,1,1250.1005995922574,,1,54.22582803465699,,1,1712.6757775318952,,1,855.8201248778037,,1,1562751.5091009215,,1,g (variance: g^2; CV: %),255,255,1,1231.476103031791,,1,436.90794467813396,,1,35.47839406729073,,1,227.89393453145067,,1,108.03389830508468,,1,190888.55212287136,,1
1969.0,1,g (variance: g^2; CV: %),255,255,1,4388.861538024414,,1,478.7782165992738,,1,10.908938740746633,,1,458.2780878323683,,1,240.45322343256612,,1,229228.5806899811,,1,g (variance: g^2; CV: %),255,255,1,3158.192730836424,,1,1095.6193558432594,,1,34.69133929496104,,1,1277.3287692041022,,1,728.6563038288264,,1,1200381.7728983988,,1,g (variance: g^2; CV: %),255,255,1,1833.7847327507461,,1,566.0879962614611,,1,30.869926341479992,,1,242.434916031257,,1,107.94270833333348,,1,320455.61951131595,,1
