run_id,combination,N,packets,pc_dt_zero_count,pc_dt_negative_count,pc_dt_gt_20ms_count,pc_dt_gt_100ms_count,host_dt_gt_20ms_count,host_dt_gt_100ms_count,sequence_step_not_one_count,observed_pc_span_ms,observed_host_span_ms,pc_packet_span_rate_Hz,host_packet_span_rate_Hz,pc_completion_dt_ms_n,pc_completion_dt_ms_mean,pc_completion_dt_ms_sd_population,pc_completion_dt_ms_min,pc_completion_dt_ms_p50,pc_completion_dt_ms_p95,pc_completion_dt_ms_p99,pc_completion_dt_ms_max,host_enqueue_dt_ms_n,host_enqueue_dt_ms_mean,host_enqueue_dt_ms_sd_population,host_enqueue_dt_ms_min,host_enqueue_dt_ms_p50,host_enqueue_dt_ms_p95,host_enqueue_dt_ms_p99,host_enqueue_dt_ms_max
20260907_014835_279154,M0+M3,2,6002,619,0,46,2,0,0,0,29992.665900004795,29994,200.0822474403331,200.07334800293393,6001,4.997944659224261,4.9109941563015855,0.0,4.89809998543933,10.576100001344457,17.512300022644922,154.0775999892503,6001,4.998166972171305,0.19872105518209507,3.0,5.0,5.0,6.0,7.0
20260907_014946_645414,M1+M2,2,6006,1170,0,86,6,0,0,0,30011.962999997195,30000,200.0868786890268,200.16666666666666,6005,4.997828975852988,6.579111478767896,0.0,4.740200005471706,12.258799985283986,23.640780001878742,164.53109998838045,6005,4.995836802664447,0.28180928471274674,3.0,5.0,5.0,6.0,7.0
20260907_015026_779606,M1+M2,2,6005,161,0,0,0,0,0,0,29997.4531000189,29998,200.15032542866837,200.14667644509635,6004,4.996244686878565,2.7006409659487707,0.0,4.920249994029291,10.200144999544133,14.339907005778528,19.90250000380911,6004,4.996335776149234,0.2839005075381636,3.0,5.0,5.0,6.0,7.0
20260907_015106_825879,M1+M2,2,6005,161,0,0,0,0,0,0,29996.04790000012,29997,200.15970170523616,200.15334866820015,6004,4.996010642904751,2.678032892382533,0.0,4.925699991872534,10.06550000893185,13.909174978616653,19.042200001422316,6004,4.996169220519653,0.2836048205088343,3.0,5.0,5.0,6.0,7.0
20260907_015217_328962,M1+M3,2,6121,2603,0,95,26,0,0,0,29692.849999992177,30549,206.11022518894657,200.3338898163606,6120,4.8517728758157155,25.256793622469154,0.0,2.8664999990724027,11.042024986818438,30.271346004447242,1008.8706999958958,6120,4.991666666666666,0.19156007266105454,3.0,5.0,5.0,5.0,7.0
20260907_015257_395753,M1+M3,2,6011,966,0,73,0,0,0,0,29989.652600022964,29992,200.40245481187728,200.3867698052814,6010,4.9899588352783635,4.674189621268246,0.0,4.872299992712215,11.883049999596551,20.902909996220842,88.07389999856241,6010,4.990349417637272,0.19623760014578076,3.0,5.0,5.0,5.0,7.0
20260907_015337_478535,M1+M3,2,6015,620,0,44,0,0,0,0,29990.381099982187,30009,200.53096290942338,200.4065447032557,6014,4.9867610741573305,3.6036458210434854,0.0,4.862550005782396,11.475029993744089,18.73454600427065,61.36529997456819,6014,4.989857000332558,0.19741481727535376,3.0,5.0,5.0,5.0,7.0
20260907_015550_103879,M2+M3,2,6010,2666,0,144,14,0,0,0,29949.953800009098,30016,200.63470014428452,200.1932302771855,6009,4.984182692629239,49.899909941013824,0.0,2.6643000019248575,13.052219990640873,35.76461601187476,3737.0086000009906,6009,4.995173905807955,0.2892826999505313,3.0,5.0,5.0,6.0,7.0
20260907_015630_225115,M2+M3,2,6007,1066,0,53,8,0,0,0,29995.989900024142,29998,200.22676431142438,200.21334755650378,6006,4.994337312691332,12.320044047792269,0.0,4.832999999052845,10.4682499950286,19.08437499951104,562.935900001321,6006,4.994671994671995,0.28905829159930413,3.0,5.0,5.0,6.0,7.0
20260907_015710_248741,M2+M3,2,6008,163,0,9,0,0,0,0,29997.801599995,30004,200.24800750735685,200.2066391147847,6007,4.993807491259364,2.8130916066482565,0.0,4.926900001009926,10.136579995742064,14.629626003443251,28.08839999488555,6007,4.994839354086898,0.2690518220826401,3.0,5.0,5.0,6.0,7.0
20260907_015809_623056,M1+M2+M3,3,6007,1217,0,84,5,0,0,0,29990.86379999062,29998,200.26098748119014,200.21334755650378,6006,4.993483816182255,10.11810606269484,0.0,4.730549990199506,11.506574977829587,23.67551999195711,500.89270001626574,6006,4.994671994671995,0.2808784279368988,3.0,5.0,5.0,6.0,7.0
20260907_015849_721923,M1+M2+M3,3,6007,1499,0,91,10,0,0,0,29998.755499982508,30000,200.20830530798193,200.2,6006,4.994797785544873,13.679185215828314,0.0,4.608550007105805,11.648000006971415,23.927454998192832,517.216299980646,6006,4.995004995004995,0.24065973461956164,3.0,5.0,5.0,6.0,7.0
20260907_015929_769209,M1+M2+M3,3,6005,186,0,6,0,0,0,0,29998.51070001023,29993,200.14326911228807,200.1800420098023,6004,4.996420836110964,2.937060954287985,0.0,4.921500003547408,9.907965015736403,14.429025009740153,89.96410001418553,6004,4.995502998001332,0.2841817329095234,3.0,5.0,5.0,6.0,7.0
