run_id,N,modules,slot,batch_id,repeat,main_status,ESKF_count,ESKD_count,K_ESKD,K1_ESKD,K2_ESKD,K_zero_fraction,K_max,q_ESKF,valid_update_rate_Hz,ESKF_PC_interval_mean_s,ESKF_trigger_reason
20260907_015710_248741,2,M2_M3,M3,BATCH_d8bda735d5aa42709b25fbc143ad2769,3,PASS,30,5978,2.9069923051187687,0.943626630980261,1.963365674138508,0.1679491468718635,22,0.004993342210386152,200.23736059407702,0.9989490172412279,unknown_without_correlated_firmware_events
20260907_015809_623056,3,M1_M2_M3,M1,BATCH_4938ea384f0d4a39bc04cb6a3bb282be,1,PASS,30,5977,3.3774468797055377,0.9745691818638113,2.402877697841727,0.3664045507779823,30,0.00499417346429166,200.23054078463383,0.9989868068971254,unknown_without_correlated_firmware_events
20260907_015809_623056,3,M1_M2_M3,M2,BATCH_4938ea384f0d4a39bc04cb6a3bb282be,1,PASS,30,5977,21.448050861636272,21.249958172996486,0.19809268863978585,0.0025096202108080977,44,0.00499417346429166,200.23054078463383,0.9988907413790002,unknown_without_correlated_firmware_events
20260907_015809_623056,3,M1_M2_M3,M3,BATCH_4938ea384f0d4a39bc04cb6a3bb282be,1,PASS,30,5977,4.217333110255981,2.1668060900117116,2.0505270202442696,0.16764263008198094,40,0.00499417346429166,200.23054078463383,0.9987898137930235,unknown_without_correlated_firmware_events
20260907_015849_721923,3,M1_M2_M3,M1,BATCH_4938ea384f0d4a39bc04cb6a3bb282be,2,PASS,30,5977,3.2785678433996988,1.3797891919022922,1.8987786514974068,0.4095700184038815,29,0.00499417346429166,200.22786244061595,0.9990571896547596,unknown_without_correlated_firmware_events
20260907_015849_721923,3,M1_M2_M3,M2,BATCH_4938ea384f0d4a39bc04cb6a3bb282be,2,PASS,30,5977,8.459260498577882,8.319558306842898,0.1397021917349841,0.12564831855445877,37,0.00499417346429166,200.22786244061595,0.9989821206896711,unknown_without_correlated_firmware_events
20260907_015849_721923,3,M1_M2_M3,M3,BATCH_4938ea384f0d4a39bc04cb6a3bb282be,2,PASS,30,5977,6.963861468964363,5.528860632424293,1.4350008365400704,0.08683285929396017,51,0.00499417346429166,200.22786244061595,0.9989951517240241,unknown_without_correlated_firmware_events
20260907_015929_769209,3,M1_M2_M3,M1,BATCH_4938ea384f0d4a39bc04cb6a3bb282be,3,PASS,30,5975,2.337907949790795,0.7648535564853557,1.5730543933054393,0.519163179916318,26,0.004995836802664446,200.14021546878348,0.9991756206898196,unknown_without_correlated_firmware_events
20260907_015929_769209,3,M1_M2_M3,M2,BATCH_4938ea384f0d4a39bc04cb6a3bb282be,3,PASS,30,5975,22.44652719665272,22.233138075313807,0.21338912133891214,0.00016736401673640169,42,0.004995836802664446,200.14021546878348,0.9991337482753242,unknown_without_correlated_firmware_events
20260907_015929_769209,3,M1_M2_M3,M3,BATCH_4938ea384f0d4a39bc04cb6a3bb282be,3,PASS,31,5974,4.366086374288584,2.412621359223301,1.9534650150652828,0.13592233009708737,43,0.005162364696086595,200.14021546878348,0.999274513333027,unknown_without_correlated_firmware_events
