source,actual_load_g,row,column,raw_adc,common_valid,status,quality_flags,linear_g,gamma_g,fit_g,global_lut_g
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,1,0.0,True,ok,,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,2,6.0,True,ok,,0.0,0.0,57.8,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,3,3.0,True,ok,,3.4940600978336827,1.192371176838852e-09,24.333333333333332,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,4,159.0,True,ok,,431.15942028985506,0.2764658569233384,17.911340206185567,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,5,217.0,True,ok,,0.0,0.0,0.0,37.40075268374944
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,6,186.5,True,ok,,0.0,0.0,0.0,13.957162834697488
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,7,159.0,True,ok,,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,8,121.5,True,ok,,124.07407407407408,0.0018958944642961304,54.19278717720392,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,9,140.0,True,ok,,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,10,321.0,True,ok,ZERO_UNSTABLE,0.0,0.0,0.0,125.5146689019279
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,11,220.5,True,ok,,0.0,0.0,0.0,40.09100069921441
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,12,360.0,True,ok,,0.0,0.0,0.0,156.18214540270847
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,13,12.0,True,ok,,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,14,266.0,True,ok,,0.0,0.0,0.0,75.44481698798548
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,15,294.0,True,ok,,0.0,0.0,0.0,100.93492341690163
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,3,16,83.0,True,ok,,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,1,0.0,True,ok,,0.0,0.0,36.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,2,4.5,True,ok,,0.0,0.0,36.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,3,2.0,True,ok,,0.0,0.0,36.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,4,61.5,True,ok,,139.92537313432837,0.003066732401791692,18.620689655172413,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,5,114.0,True,ok,,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,6,100.0,True,ok,,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,7,93.0,True,ok,,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,8,65.5,True,ok,,41.95270785659802,2.478163626052494e-05,47.76944639103013,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,9,89.0,True,ok,,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,10,178.0,True,ok,,0.0,0.0,0.0,7.4237033685682565
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,11,148.0,True,ok,,0.0,0.0,36.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,12,222.0,True,ok,,0.0,0.0,0.0,41.243964134413694
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,13,9.0,True,ok,,0.0,0.0,36.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,14,223.0,True,ok,,0.0,0.0,0.0,42.01260642454654
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,15,267.0,True,ok,,0.0,0.0,0.0,76.35517793187533
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,4,16,81.0,True,ok,,0.0,0.0,36.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,1,4.0,True,ok,,0.0,0.0,36.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,2,1.0,True,ok,,0.0,0.0,36.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,3,1.0,True,ok,,0.0,0.0,36.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,4,105.0,True,ok,,339.04619970193744,0.10571229716231884,132.3775167785235,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,5,195.0,True,ok,,455.61665357423414,0.3447373561535592,303.2112676056338,20.49062230082672
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,6,259.0,True,ok,,477.1784232365145,0.41477557886990635,304.2162162162162,69.68372886932917
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,7,130.0,True,ok,,225.68093385214007,0.02075245438438907,264.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,8,94.0,True,ok,,247.0059880239521,0.02977967226878925,140.35403726708074,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,9,98.0,True,ok,,127.11864406779662,0.002088944944365362,151.2,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,10,169.0,True,ok,,285.8261550509005,0.053394663732071475,288.70588235294116,0.5059227573725991
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,11,141.0,True,ok,,243.32810047095762,0.028045232861125945,256.9655172413793,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,12,169.0,True,ok,,290.65200314218384,0.057093053198278926,279.52941176470586,0.5059227573725991
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,5,13,6.0,True,ok,,11.312217194570136,1.310029051996563e-07,288.0,0.0
