row,column,method,adc_rmse,adc_r2,pressure_rmse,pressure_r2,lut_points,plateau_count,measured_adc_min,measured_adc_max
8,14,isotonic+pchip+lut,28.496411,0.935236,414.527378,0.855688,11,11,939.000,1393.000
8,15,isotonic+pchip+lut,30.547224,0.945893,434.089708,0.841746,10,12,886.000,1389.000
8,16,isotonic+pchip+lut,36.050785,0.986509,179.594476,0.972912,15,7,207.000,1335.000
9,1,isotonic+pchip+lut,0.904534,0.999994,11.207655,0.999895,21,1,11.000,1384.000
9,2,isotonic+pchip+lut,2.594794,0.999959,38.314775,0.998767,19,3,1.000,1412.000
9,3,isotonic+pchip+lut,1.500000,0.999984,22.771337,0.999565,19,3,0.000,1417.000
9,4,isotonic+pchip+lut,26.502716,0.995997,75.784484,0.995177,20,2,49.000,1436.000
9,5,isotonic+pchip+lut,5.728716,0.999725,20.146131,0.999659,21,1,245.000,1429.000
9,6,isotonic+pchip+lut,8.140806,0.999501,21.765162,0.999602,21,1,187.000,1419.000
9,7,isotonic+pchip+lut,6.047163,0.999690,30.033980,0.999242,20,2,271.000,1411.000
9,8,isotonic+pchip+lut,11.309941,0.999172,21.220487,0.999622,19,3,10.000,1412.000
9,9,isotonic+pchip+lut,5.676907,0.999696,39.481954,0.998691,20,2,353.000,1410.000
9,10,isotonic+pchip+lut,5.632697,0.999714,36.832562,0.998861,20,2,229.000,1411.000
9,11,isotonic+pchip+lut,38.940047,0.984584,135.044914,0.984684,16,6,375.000,1415.000
9,12,isotonic+pchip+lut,18.416026,0.996298,117.661864,0.988373,16,6,439.000,1430.000
9,13,isotonic+pchip+lut,12.273154,0.999230,98.400293,0.991868,16,6,13.000,1399.000
9,14,isotonic+pchip+lut,5.711498,0.999540,50.565012,0.997853,18,4,537.000,1416.000
9,15,isotonic+pchip+lut,7.904616,0.999170,65.545394,0.996392,18,4,501.000,1422.000
9,16,isotonic+pchip+lut,19.828485,0.997169,144.228834,0.982530,16,6,122.000,1367.000
10,1,isotonic+pchip+lut,4.395245,0.999869,23.704008,0.999528,20,2,7.000,1387.000
10,2,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,1.000,1412.000
10,3,isotonic+pchip+lut,3.618136,0.999901,33.813230,0.999040,21,1,0.500,1426.000
10,4,isotonic+pchip+lut,15.166750,0.998175,53.196799,0.997623,20,2,93.000,1427.000
10,5,isotonic+pchip+lut,2.562846,0.999880,17.542375,0.999742,21,1,528.000,1433.000
10,6,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,323.000,1422.000
10,7,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,522.000,1416.000
10,8,isotonic+pchip+lut,19.605339,0.997426,19.550955,0.999679,20,2,15.000,1418.000
10,9,isotonic+pchip+lut,20.588317,0.993373,115.346124,0.988826,17,5,600.000,1420.000
10,10,isotonic+pchip+lut,4.674236,0.999741,62.678858,0.996701,20,2,327.000,1419.000
10,11,isotonic+pchip+lut,107.278676,0.840280,216.149551,0.960762,16,6,518.000,1436.000
10,12,isotonic+pchip+lut,36.421356,0.980891,131.885127,0.985392,17,5,557.000,1433.000
10,13,isotonic+pchip+lut,6.775205,0.999774,70.829933,0.995787,14,8,17.000,1401.000
10,14,isotonic+pchip+lut,5.910955,0.999484,35.579660,0.998937,20,2,505.000,1419.000
10,15,isotonic+pchip+lut,10.971036,0.998314,53.566723,0.997590,20,2,481.000,1422.000
10,16,isotonic+pchip+lut,21.376951,0.996792,116.220323,0.988656,16,6,130.000,1371.000
11,1,isotonic+pchip+lut,0.753778,0.999996,11.184579,0.999895,21,1,6.000,1393.000
11,2,isotonic+pchip+lut,1.069551,0.999994,27.460168,0.999367,19,3,1.000,1420.000
11,3,isotonic+pchip+lut,2.621300,0.999957,43.448657,0.998415,18,4,0.000,1439.000
11,4,isotonic+pchip+lut,31.206424,0.991315,35.620436,0.998934,21,1,60.000,1420.000
11,5,isotonic+pchip+lut,14.924812,0.997226,17.639562,0.999739,21,1,289.000,1434.000
11,6,isotonic+pchip+lut,20.201260,0.996151,23.822075,0.999523,21,1,192.000,1426.000
11,7,isotonic+pchip+lut,16.733880,0.996169,26.608654,0.999405,21,1,340.000,1432.000
11,8,isotonic+pchip+lut,10.100630,0.999350,13.241064,0.999853,21,1,20.000,1434.000
11,9,isotonic+pchip+lut,103.794578,0.687278,1481.954057,-0.844439,11,11,599.000,1602.000
11,10,isotonic+pchip+lut,25.744520,0.989822,61.410711,0.996833,19,3,214.000,1423.000
11,11,isotonic+pchip+lut,20.796270,0.991140,67.713874,0.996149,20,2,626.000,1424.000
11,12,isotonic+pchip+lut,30.831409,0.980419,79.032031,0.994754,19,3,630.000,1429.000
11,13,isotonic+pchip+lut,24.343813,0.997189,85.007286,0.993931,17,5,18.000,1395.000
11,14,isotonic+pchip+lut,15.377079,0.996751,26.730065,0.999400,21,1,359.000,1424.000
11,15,isotonic+pchip+lut,16.130857,0.996716,31.158066,0.999185,21,1,357.000,1413.000
11,16,isotonic+pchip+lut,10.262465,0.999327,95.191692,0.992390,19,3,136.000,1364.000
12,1,isotonic+pchip+lut,3.480465,0.999927,19.235670,0.999689,20,2,5.000,1415.000
12,2,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,1.000,1436.000
12,3,isotonic+pchip+lut,8.407698,0.999521,59.120759,0.997065,19,3,1.000,1437.000
12,4,isotonic+pchip+lut,30.613920,0.991681,34.650960,0.998992,20,2,42.000,1436.000
12,5,isotonic+pchip+lut,18.542948,0.996022,20.873219,0.999634,21,1,187.000,1445.000
12,6,isotonic+pchip+lut,33.618515,0.990132,36.805665,0.998862,21,1,109.000,1447.000
12,7,isotonic+pchip+lut,0.301511,0.999999,14.014476,0.999835,21,1,201.000,1457.000
12,8,isotonic+pchip+lut,3.618136,0.999922,11.751814,0.999884,21,1,20.000,1450.000
12,9,isotonic+pchip+lut,9.226937,0.998973,20.411187,0.999650,20,2,209.000,1455.000
12,10,isotonic+pchip+lut,8.594396,0.999153,37.554667,0.998816,20,2,113.000,1458.000
12,11,isotonic+pchip+lut,3.165869,0.999877,20.902427,0.999633,21,1,287.000,1443.000
12,12,isotonic+pchip+lut,8.743829,0.998918,45.934236,0.998228,20,2,259.000,1438.000
12,13,isotonic+pchip+lut,26.844565,0.996734,51.251149,0.997794,17,5,8.000,1408.000
12,14,isotonic+pchip+lut,20.989407,0.994351,237.340131,0.952692,15,7,220.000,1432.000
12,15,isotonic+pchip+lut,22.858159,0.994976,449.435086,0.830360,12,10,219.000,1431.000
