run_id,started_at,mode,condition,N,target_hz,modules,block,batch_id,repeat,old_relative_path,new_relative_path,duration_s,main_duration_s,main_packets,main_status,full_status,full_review_reasons,main_rate_Hz,main_Lmean_B,main_packet_Mbit_s,main_raw_arrival_Mbit_s,source_local_firmware,deployment_confirmed,main_eligible,main_review_reasons,main_outer_crc_errors,main_outer_missing_sequence_numbers,main_interior_unassigned_raw_bytes,source_review,timing_note,replacement_batch_id,primary_matrix_selected,selection_reason
20260906_233440_083230,2026-09-06T23:34:40.083230+01:00,FULL,zero_load,2,200,M1_M2,1,BATCH_9870b18f5c6f405aba45d08917c5bf8e,2,20260906_233440_083230,FULL/N=2/200Hz/M1_M2/Repeat_2,40.00059149999288,30.00059149999288,6007,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.22938547733054,2128.0,3.408705058366075,3.408705058366075,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_233520_115774,2026-09-06T23:35:20.115774+01:00,FULL,zero_load,2,200,M1_M2,1,BATCH_9870b18f5c6f405aba45d08917c5bf8e,3,20260906_233520_115774,FULL/N=2/200Hz/M1_M2/Repeat_3,40.00313950001146,30.003139500011457,6007,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.21238110757398,2128.0,3.4084155759753387,3.4084158426141022,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_233935_041252,2026-09-06T23:39:35.041252+01:00,FULL,zero_load,2,200,M1_M3,1,BATCH_d441cd5ac6fb45fe847fa468454f1d8b,1,20260906_233935_041252,FULL/N=2/200Hz/M1_M3/Repeat_1,40.00405499999761,30.004054999997607,6013,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.40624508922144,2128.0,3.4117159163989057,3.4117161830295326,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_234015_080026,2026-09-06T23:40:15.080026+01:00,FULL,zero_load,2,200,M1_M3,1,BATCH_d441cd5ac6fb45fe847fa468454f1d8b,2,20260906_234015_080026,FULL/N=2/200Hz/M1_M3/Repeat_2,40.00027250000858,30.000272500008577,6011,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.36484668591865,2128.0,3.4110111499810793,3.4110114166453234,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_234055_124089,2026-09-06T23:40:55.124089+01:00,FULL,zero_load,2,200,M1_M3,1,BATCH_d441cd5ac6fb45fe847fa468454f1d8b,3,20260906_234055_124089,FULL/N=2/200Hz/M1_M3/Repeat_3,40.002008200011915,30.002008200011915,6013,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.41991722399476,2128.0,3.4119486708212867,3.4119486708212867,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_234339_617031,2026-09-06T23:43:39.617031+01:00,FULL,zero_load,2,200,M2_M3,1,BATCH_9161ebb9271141febb469a6abcd14cb4,1,20260906_234339_617031,FULL/N=2/200Hz/M2_M3/Repeat_1,40.00170259998413,30.001702599984128,6007,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.22197006923128,2128.0,3.408578818458593,3.4085790851101265,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_234419_667943,2026-09-06T23:44:19.667943+01:00,FULL,zero_load,2,200,M2_M3,1,BATCH_9161ebb9271141febb469a6abcd14cb4,2,20260906_234419_667943,FULL/N=2/200Hz/M2_M3/Repeat_2,40.004241799993906,30.004241799993906,6007,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.2050256774434,2128.0,3.408290357132796,3.408290623761763,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_234459_699129,2026-09-06T23:44:59.699129+01:00,FULL,zero_load,2,200,M2_M3,1,BATCH_9161ebb9271141febb469a6abcd14cb4,3,20260906_234459_699129,FULL/N=2/200Hz/M2_M3/Repeat_3,40.00313180001103,30.003131800011033,6006,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.1791026361385,2128.0,3.407849043277622,3.4078493099164535,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260907_004948_668301,2026-09-07T00:49:48.668301+01:00,FULL,zero_load,3,200,M0_M1_M2,1,BATCH_6b6313d281364eaa891ce82942b3d531,1,20260907_004948_668301,FULL/N=3/200Hz/M0_M1_M2/Batch_20260907_004948_668301/Repeat_1,40.00417259999085,30.004172599990852,6005,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.1388300239891,3172.0,5.078722950688747,5.078722950688747,four-module-variable-spi,False,True,,0,0,0,20260907_full_completion_review,,BATCH_6b6313d281364eaa891ce82942b3d531,True,complete_retest_batch_selected_as_one_unit
20260907_005028_724004,2026-09-07T00:50:28.724004+01:00,FULL,zero_load,3,200,M0_M1_M2,1,BATCH_6b6313d281364eaa891ce82942b3d531,2,20260907_005028_724004,FULL/N=3/200Hz/M0_M1_M2/Batch_20260907_004948_668301/Repeat_2,40.0014366999967,30.001436699996702,6003,PASS,PASS,,200.0904176699198,3172.0,5.077494438791884,5.077494438791884,four-module-variable-spi,False,True,,0,0,0,20260907_full_completion_review,,BATCH_6b6313d281364eaa891ce82942b3d531,True,complete_retest_batch_selected_as_one_unit
