N,M_configured_slots,frequency_Hz,FULL_Mbit_s,DELTA_K0_Mbit_s,DELTA_K240_Mbit_s,DELTA_K480_Mbit_s,USB_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_Mbit_s,DELTA_K240_no_ESKF_bound_Mbit_s,DELTA_K480_no_ESKF_bound_Mbit_s
134,134,200,224.7296,19.93472,122.33215999999999,224.7296,480.0,0.005,1.0,18.9056,121.8176,224.7296
135,135,200,226.4064,20.0832,123.2448,226.4064,480.0,0.005,1.0,19.0464,122.7264,226.4064
136,136,200,228.0832,20.23168,124.15743999999998,228.0832,480.0,0.005,1.0,19.1872,123.6352,228.0832
137,137,200,229.76,20.38016,125.07008,229.76,480.0,0.005,1.0,19.328,124.544,229.76
138,138,200,231.4368,20.52864,125.98272,231.4368,480.0,0.005,1.0,19.4688,125.4528,231.4368
139,139,200,233.1136,20.67712,126.89535999999998,233.1136,480.0,0.005,1.0,19.6096,126.3616,233.1136
140,140,200,234.7904,20.8256,127.808,234.7904,480.0,0.005,1.0,19.7504,127.2704,234.7904
141,141,200,236.4672,20.97408,128.72063999999997,236.4672,480.0,0.005,1.0,19.8912,128.1792,236.4672
142,142,200,238.144,21.12256,129.63328,238.144,480.0,0.005,1.0,20.032,129.088,238.144
143,143,200,239.8208,21.27104,130.54592,239.8208,480.0,0.005,1.0,20.1728,129.9968,239.8208
144,144,200,241.4976,21.41952,131.45855999999998,241.4976,480.0,0.005,1.0,20.3136,130.9056,241.4976
145,145,200,243.1744,21.568,132.3712,243.1744,480.0,0.005,1.0,20.4544,131.8144,243.1744
146,146,200,244.8512,21.71648,133.28384,244.8512,480.0,0.005,1.0,20.5952,132.7232,244.8512
147,147,200,246.528,21.86496,134.19648,246.528,480.0,0.005,1.0,20.736,133.632,246.528
148,148,200,248.2048,22.01344,135.10912,248.2048,480.0,0.005,1.0,20.8768,134.5408,248.2048
149,149,200,249.8816,22.16192,136.02176,249.8816,480.0,0.005,1.0,21.0176,135.4496,249.8816
150,150,200,251.5584,22.3104,136.9344,251.5584,480.0,0.005,1.0,21.1584,136.3584,251.5584
151,151,200,253.2352,22.45888,137.84704,253.2352,480.0,0.005,1.0,21.2992,137.2672,253.2352
152,152,200,254.912,22.60736,138.75968,254.912,480.0,0.005,1.0,21.44,138.176,254.912
153,153,200,256.5888,22.75584,139.67232,256.5888,480.0,0.005,1.0,21.5808,139.0848,256.5888
154,154,200,258.2656,22.90432,140.58496,258.2656,480.0,0.005,1.0,21.7216,139.9936,258.2656
155,155,200,259.9424,23.0528,141.4976,259.9424,480.0,0.005,1.0,21.8624,140.9024,259.9424
156,156,200,261.6192,23.20128,142.41024,261.6192,480.0,0.005,1.0,22.0032,141.8112,261.6192
157,157,200,263.296,23.34976,143.32288,263.296,480.0,0.005,1.0,22.144,142.72,263.296
158,158,200,264.9728,23.49824,144.23552,264.9728,480.0,0.005,1.0,22.2848,143.6288,264.9728
159,159,200,266.6496,23.64672,145.14816,266.6496,480.0,0.005,1.0,22.4256,144.5376,266.6496
160,160,200,268.3264,23.7952,146.0608,268.3264,480.0,0.005,1.0,22.5664,145.4464,268.3264
161,161,200,270.0032,23.94368,146.97344,270.0032,480.0,0.005,1.0,22.7072,146.3552,270.0032
162,162,200,271.68,24.09216,147.88608,271.68,480.0,0.005,1.0,22.848,147.264,271.68
163,163,200,273.3568,24.24064,148.79872,273.3568,480.0,0.005,1.0,22.9888,148.1728,273.3568
164,164,200,275.0336,24.38912,149.71136,275.0336,480.0,0.005,1.0,23.1296,149.0816,275.0336
165,165,200,276.7104,24.5376,150.624,276.7104,480.0,0.005,1.0,23.2704,149.9904,276.7104
166,166,200,278.3872,24.68608,151.53664,278.3872,480.0,0.005,1.0,23.4112,150.8992,278.3872
167,167,200,280.064,24.83456,152.44928,280.064,480.0,0.005,1.0,23.552,151.808,280.064
168,168,200,281.7408,24.98304,153.36192,281.7408,480.0,0.005,1.0,23.6928,152.7168,281.7408
169,169,200,283.4176,25.13152,154.27456,283.4176,480.0,0.005,1.0,23.8336,153.6256,283.4176
170,170,200,285.0944,25.28,155.1872,285.0944,480.0,0.005,1.0,23.9744,154.5344,285.0944
171,171,200,286.7712,25.42848,156.09984,286.7712,480.0,0.005,1.0,24.1152,155.4432,286.7712
172,172,200,288.448,25.57696,157.01248,288.448,480.0,0.005,1.0,24.256,156.352,288.448
173,173,200,290.1248,25.72544,157.92512,290.1248,480.0,0.005,1.0,24.3968,157.2608,290.1248
174,174,200,291.8016,25.87392,158.83776,291.8016,480.0,0.005,1.0,24.5376,158.1696,291.8016
175,175,200,293.4784,26.0224,159.7504,293.4784,480.0,0.005,1.0,24.6784,159.0784,293.4784
176,176,200,295.1552,26.17088,160.66304,295.1552,480.0,0.005,1.0,24.8192,159.9872,295.1552
177,177,200,296.832,26.319359999999996,161.57568,296.832,480.0,0.005,1.0,24.96,160.896,296.832
178,178,200,298.5088,26.467840000000002,162.48832,298.5088,480.0,0.005,1.0,25.1008,161.8048,298.5088
179,179,200,300.1856,26.616319999999995,163.40096,300.1856,480.0,0.005,1.0,25.2416,162.7136,300.1856
180,180,200,301.8624,26.7648,164.3136,301.8624,480.0,0.005,1.0,25.3824,163.6224,301.8624
181,181,200,303.5392,26.91328,165.22624,303.5392,480.0,0.005,1.0,25.5232,164.5312,303.5392
182,182,200,305.216,27.061759999999996,166.13888,305.216,480.0,0.005,1.0,25.664,165.44,305.216
183,183,200,306.8928,27.210240000000002,167.05152,306.8928,480.0,0.005,1.0,25.8048,166.3488,306.8928
184,184,200,308.5696,27.358719999999995,167.96416,308.5696,480.0,0.005,1.0,25.9456,167.2576,308.5696
185,185,200,310.2464,27.5072,168.8768,310.2464,480.0,0.005,1.0,26.0864,168.1664,310.2464
186,186,200,311.9232,27.65568,169.78944,311.9232,480.0,0.005,1.0,26.2272,169.0752,311.9232
187,187,200,313.6,27.804159999999996,170.70208,313.6,480.0,0.005,1.0,26.368,169.984,313.6
188,188,200,315.2768,27.952639999999995,171.61472,315.2768,480.0,0.005,1.0,26.5088,170.8928,315.2768
189,189,200,316.9536,28.10112,172.52736,316.9536,480.0,0.005,1.0,26.6496,171.8016,316.9536
190,190,200,318.6304,28.2496,173.44,318.6304,480.0,0.005,1.0,26.7904,172.7104,318.6304
191,191,200,320.3072,28.39808,174.35264,320.3072,480.0,0.005,1.0,26.9312,173.6192,320.3072
192,192,200,321.984,28.546559999999996,175.26527999999996,321.984,480.0,0.005,1.0,27.072,174.528,321.984
