N,M_configured_slots,frequency_Hz,FULL_Mbit_s,DELTA_K0_Mbit_s,DELTA_K240_Mbit_s,DELTA_K480_Mbit_s,USB_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_Mbit_s,DELTA_K240_no_ESKF_bound_Mbit_s,DELTA_K480_no_ESKF_bound_Mbit_s
3,4,550,13.9568,1.3078399999999997,7.632319999999999,13.9568,480.0,0.0018181818181818182,1.0,1.2848,7.6208,13.9568
3,4,575,14.5912,1.3662399999999997,7.978719999999999,14.5912,480.0,0.0017391304347826088,1.0,1.3432,7.9672,14.5912
3,4,600,15.2256,1.4246399999999997,8.325119999999998,15.2256,480.0,0.0016666666666666668,1.0,1.4016,8.3136,15.2256
3,4,625,15.86,1.48304,8.671519999999997,15.86,480.0,0.0016,1.0,1.46,8.66,15.86
3,4,650,16.4944,1.5414400000000001,9.01792,16.4944,480.0,0.0015384615384615385,1.0,1.5184,9.0064,16.4944
3,4,675,17.1288,1.59984,9.364319999999998,17.1288,480.0,0.0014814814814814814,1.0,1.5768,9.3528,17.1288
3,4,700,17.7632,1.65824,9.71072,17.7632,480.0,0.0014285714285714286,1.0,1.6352,9.6992,17.7632
4,4,0,0.0,0.0,0.0,0.0,480.0,0.0,1.0,0.0,0.0,0.0
4,4,25,0.8432,0.10592,0.4745599999999999,0.8432,480.0,0.04,1.0,0.0752,0.4592,0.8432
4,4,50,1.6864,0.18111999999999998,0.93376,1.6864,480.0,0.02,1.0,0.1504,0.9184,1.6864
4,4,75,2.5296,0.25632,1.39296,2.5296,480.0,0.013333333333333334,1.0,0.2256,1.3776,2.5296
4,4,100,3.3728,0.33152,1.8521600000000003,3.3728,480.0,0.01,1.0,0.3008,1.8368,3.3728
4,4,125,4.216,0.40672,2.3113599999999996,4.216,480.0,0.008,1.0,0.376,2.296,4.216
4,4,150,5.0592,0.48192,2.77056,5.0592,480.0,0.006666666666666667,1.0,0.4512,2.7552,5.0592
4,4,175,5.9024,0.55712,3.22976,5.9024,480.0,0.005714285714285714,1.0,0.5264,3.2144,5.9024
