N,frequency_Hz,DELTA_K0_SPI_Mbit_s,DELTA_K240_SPI_Mbit_s,DELTA_K480_SPI_Mbit_s,configured_raw_Mbit_s,hypothetical_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_SPI_Mbit_s,DELTA_K240_no_ESKF_bound_SPI_Mbit_s,DELTA_K480_no_ESKF_bound_SPI_Mbit_s
3,75,0.17424,1.0267199999999999,1.8792,10.0,40.0,0.013333333333333334,1.0,0.1512,1.0152,1.8792
3,100,0.22463999999999998,1.36512,2.5056,10.0,40.0,0.01,1.0,0.2016,1.3536,2.5056
3,125,0.27504,1.7035199999999997,3.132,10.0,40.0,0.008,1.0,0.252,1.692,3.132
3,150,0.32544000000000006,2.04192,3.7584,10.0,40.0,0.006666666666666667,1.0,0.3024,2.0304,3.7584
3,175,0.37584000000000006,2.38032,4.3848,10.0,40.0,0.005714285714285714,1.0,0.3528,2.3688,4.3848
3,200,0.42623999999999995,2.7187199999999994,5.0112,10.0,40.0,0.005,1.0,0.4032,2.7072,5.0112
3,225,0.47664,3.05712,5.6376,10.0,40.0,0.0044444444444444444,1.0,0.4536,3.0456,5.6376
3,250,0.52704,3.3955200000000003,6.264,10.0,40.0,0.004,1.0,0.504,3.384,6.264
3,275,0.5774399999999998,3.7339199999999995,6.8904,10.0,40.0,0.0036363636363636364,1.0,0.5544,3.7224,6.8904
3,300,0.62784,4.07232,7.5168,10.0,40.0,0.0033333333333333335,1.0,0.6048,4.0608,7.5168
3,325,0.6782399999999998,4.41072,8.1432,10.0,40.0,0.003076923076923077,1.0,0.6552,4.3992,8.1432
3,350,0.7286399999999998,4.749119999999999,8.7696,10.0,40.0,0.002857142857142857,1.0,0.7056,4.7376,8.7696
3,375,0.77904,5.08752,9.396,10.0,40.0,0.0026666666666666666,1.0,0.756,5.076,9.396
3,400,0.8294400000000001,5.42592,10.0224,10.0,40.0,0.0025,1.0,0.8064,5.4144,10.0224
3,425,0.8798400000000001,5.7643200000000006,10.6488,10.0,40.0,0.002352941176470588,1.0,0.8568,5.7528,10.6488
3,450,0.9302399999999998,6.102720000000001,11.2752,10.0,40.0,0.0022222222222222222,1.0,0.9072,6.0912,11.2752
3,475,0.98064,6.441120000000001,11.9016,10.0,40.0,0.002105263157894737,1.0,0.9576,6.4296,11.9016
3,500,1.03104,6.779519999999999,12.528,10.0,40.0,0.002,1.0,1.008,6.768,12.528
3,525,1.0814400000000002,7.11792,13.154400000000004,10.0,40.0,0.0019047619047619048,1.0,1.0584,7.1064,13.1544
3,550,1.1318399999999997,7.456319999999999,13.7808,10.0,40.0,0.0018181818181818182,1.0,1.1088,7.4448,13.7808
3,575,1.1822399999999997,7.794719999999999,14.4072,10.0,40.0,0.0017391304347826088,1.0,1.1592,7.7832,14.4072
3,600,1.2326399999999997,8.13312,15.0336,10.0,40.0,0.0016666666666666668,1.0,1.2096,8.1216,15.0336
3,625,1.28304,8.471519999999998,15.66,10.0,40.0,0.0016,1.0,1.26,8.46,15.66
3,650,1.3334400000000002,8.80992,16.2864,10.0,40.0,0.0015384615384615385,1.0,1.3104,8.7984,16.2864
3,675,1.38384,9.148319999999998,16.9128,10.0,40.0,0.0014814814814814814,1.0,1.3608,9.1368,16.9128
3,700,1.43424,9.48672,17.5392,10.0,40.0,0.0014285714285714286,1.0,1.4112,9.4752,17.5392
4,0,0.0,0.0,0.0,10.0,40.0,0.0,1.0,0.0,0.0,0.0
4,25,0.09792,0.4665599999999999,0.8352,10.0,40.0,0.04,1.0,0.0672,0.4512,0.8352
4,50,0.16511999999999996,0.91776,1.6704,10.0,40.0,0.02,1.0,0.1344,0.9024,1.6704
4,75,0.23232,1.36896,2.5056,10.0,40.0,0.013333333333333334,1.0,0.2016,1.3536,2.5056
4,100,0.29952,1.8201600000000002,3.3408,10.0,40.0,0.01,1.0,0.2688,1.8048,3.3408
4,125,0.36672,2.2713599999999996,4.176,10.0,40.0,0.008,1.0,0.336,2.256,4.176
4,150,0.43392,2.72256,5.0112,10.0,40.0,0.006666666666666667,1.0,0.4032,2.7072,5.0112
4,175,0.50112,3.17376,5.8464,10.0,40.0,0.005714285714285714,1.0,0.4704,3.1584,5.8464
4,200,0.56832,3.62496,6.6816,10.0,40.0,0.005,1.0,0.5376,3.6096,6.6816
4,225,0.63552,4.07616,7.5168,10.0,40.0,0.0044444444444444444,1.0,0.6048,4.0608,7.5168
4,250,0.70272,4.527360000000001,8.352,10.0,40.0,0.004,1.0,0.672,4.512,8.352
4,275,0.76992,4.978559999999999,9.1872,10.0,40.0,0.0036363636363636364,1.0,0.7392,4.9632,9.1872
4,300,0.83712,5.42976,10.0224,10.0,40.0,0.0033333333333333335,1.0,0.8064,5.4144,10.0224
4,325,0.9043199999999999,5.88096,10.8576,10.0,40.0,0.003076923076923077,1.0,0.8736,5.8656,10.8576
4,350,0.9715199999999998,6.332159999999999,11.6928,10.0,40.0,0.002857142857142857,1.0,0.9408,6.3168,11.6928
4,375,1.03872,6.78336,12.528,10.0,40.0,0.0026666666666666666,1.0,1.008,6.768,12.528
4,400,1.10592,7.234560000000001,13.3632,10.0,40.0,0.0025,1.0,1.0752,7.2192,13.3632
4,425,1.17312,7.685760000000002,14.1984,10.0,40.0,0.002352941176470588,1.0,1.1424,7.6704,14.1984
4,450,1.24032,8.13696,15.0336,10.0,40.0,0.0022222222222222222,1.0,1.2096,8.1216,15.0336
4,475,1.3075199999999998,8.588160000000002,15.8688,10.0,40.0,0.002105263157894737,1.0,1.2768,8.5728,15.8688
