run_id,state,frequency_hz,protocol_mode,load,N,combo,repeat,source_path,source_kind,module_id,source_column,current_source_field,identity_verification,I_recorded_mA,I_min_recorded_mA,I_max_recorded_mA,V_recorded_V,V_min_recorded_V,V_max_recorded_V,V_source_recorded_V,drop_recorded_mV,P_branch_est_mW,T_STM32_recorded_C,T_regulator_recorded_C,T_Teensy_recorded_C
PS01_N1_F200_MAX_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,continuous_yaml,M3,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,20.34,20.3,20.39,3.248,3.248,3.248,3.28,31.999999999999584,66.06432000000001,27.1,29.0,41.9
PS01_N1_F200_ZERO_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,continuous_yaml,M3,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,18.4,18.36,18.44,3.251,3.25,3.251,3.28,28.999999999999915,59.81839999999999,26.9,29.0,41.8
PS01_N2_F200_MAX_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,continuous_yaml,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,19.708,19.67,19.73,3.241,3.241,3.242,3.278,36.99999999999992,63.873628,27.3,29.6,42.9
PS01_N2_F200_MAX_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,continuous_yaml,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,20.26,20.17,20.3,3.248,3.248,3.248,3.278,29.999999999999805,65.80448000000001,26.8,29.6,42.9
PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,continuous_yaml,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,17.961,17.93,17.97,3.234,3.234,3.234,3.281,47.000000000000156,58.085874,27.1,29.0,43.1
PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,continuous_yaml,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,18.055,18.06,18.31,3.252,3.252,3.252,3.281,29.00000000000036,58.714859999999994,26.5,29.0,43.1
PS01_N2_F200_MAX_M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,2,M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/PS01_N2_F200_MAX_M2-M3_USB_RX_R1.yaml,continuous_yaml,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,19.705,19.66,19.71,3.245,3.244,3.245,3.278,32.999999999999915,63.942724999999996,26.8,29.4,42.8
PS01_N2_F200_MAX_M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,2,M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/PS01_N2_F200_MAX_M2-M3_USB_RX_R1.yaml,continuous_yaml,M3,3,I_module3_avg_mA,experiment_label_not_hardware_UID_verified,19.674,19.56,19.79,3.246,3.245,3.246,3.278,32.00000000000003,63.861804,26.9,29.4,42.8
PS01_N2_F200_ZERO_M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,2,M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml,continuous_yaml,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,18.379,18.36,18.42,3.248,3.248,3.248,3.279,30.999999999999694,59.694992000000006,26.7,29.2,42.6
PS01_N2_F200_ZERO_M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,2,M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml,continuous_yaml,M3,3,I_module3_avg_mA,experiment_label_not_hardware_UID_verified,18.155,18.14,18.16,3.248,3.248,3.248,3.279,30.999999999999694,58.96744000000001,27.1,29.2,42.6
PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,3,M0+M1+M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml,continuous_yaml,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,19.703,19.69,19.73,3.237,3.237,3.237,3.276,38.9999999999997,63.778611,27.5,30.5,42.8
PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,3,M0+M1+M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml,continuous_yaml,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,19.879,19.86,19.89,3.246,3.246,3.246,3.276,29.999999999999805,64.527234,27.2,30.5,42.8
PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,3,M0+M1+M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml,continuous_yaml,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,19.746,19.74,19.77,3.242,3.242,3.243,3.276,33.99999999999981,64.016532,26.8,30.5,42.8
PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,3,M0+M1+M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,continuous_yaml,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,17.968,17.97,17.99,3.224,3.224,3.225,3.276,51.9999999999996,57.92883200000001,27.5,30.5,42.8
PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,3,M0+M1+M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,continuous_yaml,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,18.13,18.12,18.15,3.25,3.249,3.25,3.276,25.9999999999998,58.9225,27.2,30.5,42.8
PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,3,M0+M1+M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,continuous_yaml,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,18.383,18.35,18.38,3.246,3.245,3.246,3.276,29.999999999999805,59.671217999999996,26.8,30.5,42.8
PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,3,M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,20.14,20.04,20.19,3.249,3.249,3.249,3.276,26.99999999999969,65.43486,27.4,30.4,42.6
PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,3,M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,19.756,19.73,19.77,3.243,3.243,3.243,3.276,32.999999999999915,64.068708,27.3,30.4,42.6
PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,3,M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M3,3,I_module3_avg_mA,experiment_label_not_hardware_UID_verified,19.721,19.7,19.76,3.232,3.232,3.232,3.276,43.999999999999595,63.738272,27.1,30.4,42.6
