run_id,started_at,date,date_bucket,mode,target_Hz,N,modules,load,load_source,load_metadata,repeat_label,duration_s,raw_bytes,raw_packets,complete_outer_packets,valid_inner_packets,valid_module_frames,expected_module_frames,unupdated_expected_module_frames,all_expected_modules_updated_packets,partial_update_packets,f_all_expected_modules_Hz,diagnostic_payload_bytes,unupdated_module_status_counts,fixed_N_mixture_applicable,K_effective_present_module_frames,Lmean_B,Lmodel_mean_B,f_packet_Hz,f_complete_Hz,f_valid_inner_Hz,bytes_per_s,Mbit_per_s,ESKF_count,ESKD_count,q_ESKF_module_frames,K_ESKD_mean,K_ESKD_sd_population,K_ESKD_median,K_ESKD_p05,K_ESKD_p95,K_zero_fraction,K_effective_all_frames,summary_result,summary_session_base_mismatches,log_parse_errors,raw_base_break_events_after_anchor,raw_unapplied_after_anchor,raw_initial_unanchored_delta_frames,raw_sha256,source_dir,audit_issue_counts
20260905_190049,2026-09-05T19:00:49.339390+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M0,zero_load,directory_and_metadata,Zero load,Repeat_6,30.010417700003018,1316844,6005,6005,6005,6005,6005,0,6005,0,200.09718158635945,0,{},True,47.645628642797675,219.29125728559535,219.29125728559535,200.09718158635945,200.09718158635945,200.09718158635945,43879.562529376846,0.35103650023501476,30,5975,0.004995836802664446,45.474811715481174,9.381241490877187,46.0,29.0,60.0,0.0,47.645628642797675,PASS: no recorded transport/parser/cache error,0,0,0,0,160,b13217e57af69c6d7537861a23a0635572939251620771cabd0d9e3fd9319e04,DELTA\Zero_load\N=1\M0\Repeat_6,"{""requested_vs_observed_algorithm"": 1}"
20260901_192613,2026-09-01T19:26:13.861628+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M1,zero_load,directory_and_metadata,Zero load,Repeat_1,30.00376459999825,1087750,6015,6015,6015,6015,6015,0,6015,0,200.47484308020304,0,{},True,28.41978387364921,180.83956774729842,180.83956774729842,200.47484308020304,200.47484308020304,200.47484308020304,36253.7839668314,0.2900302717346512,30,5985,0.004987531172069825,26.156223893066,7.38370635762304,26.0,14.0,37.0,0.0,28.41978387364921,PASS: no recorded transport/parser/cache error,0,0,0,0,92,b1578a3c58b38230a5b4c148a394e0a3feced04aa5b0298e3e64189955fef007,DELTA\Zero_load\N=1\M1\Repeat_1,{}
20260901_192646,2026-09-01T19:26:46.795167+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M1,zero_load,directory_and_metadata,Zero load,Repeat_2,30.003529399982654,1081902,6013,6013,6013,6013,6013,0,6013,0,200.4097557937126,0,{},True,27.963578912356567,179.92715782471313,179.92715782471313,200.4097557937126,200.4097557937126,200.4097557937126,36059.15776030754,0.2884732620824603,30,5983,0.004989190088142358,25.69697476182517,7.244651588655895,26.0,14.0,36.0,0.00016714023065351831,27.963578912356567,PASS: no recorded transport/parser/cache error,0,0,0,0,91,0411e70e74520a1a99994cf9b578b9473f0ff92bbb6b57983627737a0afa305a,DELTA\Zero_load\N=1\M1\Repeat_2,{}
20260901_192721,2026-09-01T19:27:21.745247+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M1,zero_load,directory_and_metadata,Zero load,Repeat_3,30.00044540001545,1071776,6014,6014,6014,6014,6014,0,6014,0,200.46369044897256,0,{},True,27.106750914532753,178.2135018290655,178.2135018290655,200.46369044897256,200.46369044897256,200.46369044897256,35725.3362644892,0.2858026901159136,30,5984,0.004988360492184902,24.836229946524064,7.028987741801612,25.0,13.0,35.0,0.00016711229946524063,27.106750914532753,PASS: no recorded transport/parser/cache error,0,0,0,0,88,dd6c87b15ee5e2b428a05864935e64491bc1be2d21fc53554b2da3394f152f25,DELTA\Zero_load\N=1\M1\Repeat_3,{}
20260905_190158,2026-09-05T19:01:58.980735+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,zero_load,directory_and_metadata,Zero load,Repeat_4,30.006668200003332,1013256,6014,6014,6014,6014,6014,0,6014,0,200.42211817436407,0,{},True,22.241436647821743,168.4828732956435,168.4828732956435,200.42211817436407,200.42211817436407,200.42211817436407,33767.69434201587,0.270141554736127,30,5984,0.004988360492184902,19.946524064171122,6.221846855412118,20.0,10.0,30.0,0.000501336898395722,22.241436647821743,PASS: no recorded transport/parser/cache error,0,0,0,0,136,0a714f96447d8a21c56a41e09d9f5b2c8b3eee0a6f04cfb6f5025249ad0dd7c3,DELTA\Zero_load\N=1\M1\Repeat_4,"{""requested_vs_observed_algorithm"": 1}"
20260905_190232,2026-09-05T19:02:32.712613+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,zero_load,directory_and_metadata,Zero load,Repeat_5,30.000244200011366,1021658,6012,6012,6012,6012,6012,0,6012,0,200.3983687572024,0,{},True,22.968230206254162,169.93646041250832,169.93646041250832,200.3983687572024,200.3983687572024,200.3983687572024,34054.98945903957,0.27243991567231657,30,5982,0.00499001996007984,20.676195252423938,6.1765211303623255,21.0,10.050000000000011,30.0,0.00016716817118020728,22.968230206254162,PASS: no recorded transport/parser/cache error,0,0,0,0,175,450509e371ba22324d4a8eb4d85c54ffdf78235aa2a4fcb6f7521ac471169dee,DELTA\Zero_load\N=1\M1\Repeat_5,"{""requested_vs_observed_algorithm"": 1}"
20260901_192812,2026-09-01T19:28:12.524039+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M2,zero_load,directory_and_metadata,Zero load,Repeat_1,30.0025350000069,1027082,6006,6006,6006,6006,6006,0,6006,0,200.18308452931123,0,{},True,23.50466200466201,171.00932400932402,171.00932400932402,200.18308452931123,200.18308452931123,200.18308452931123,34233.17396345888,0.27386539170767105,30,5976,0.004995004995004995,21.2130187416332,6.142248234739361,21.0,11.0,31.0,0.0,23.50466200466201,PASS: no recorded transport/parser/cache error,0,0,0,0,189,7e38a07e50d2227b9c328cd54433a99949e5440b4a4aeb803b9c123a243c0406,DELTA\Zero_load\N=1\M2\Repeat_1,{}
20260901_192844,2026-09-01T19:28:44.689702+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M2,zero_load,directory_and_metadata,Zero load,Repeat_2,30.00167669999064,1022728,6007,6007,6007,6007,6007,0,6007,0,200.22214291782814,0,{},True,23.128017313134677,170.25603462626935,170.25603462626935,200.22214291782814,200.22214291782814,200.22214291782814,34089.0280975636,0.27271222478050877,30,5977,0.00499417346429166,20.834866990128827,5.732390435377433,21.0,11.0,30.0,0.0,23.128017313134677,PASS: no recorded transport/parser/cache error,0,0,0,0,152,d7a70cd3bbde7be036e427c3057278baa4ee01dcabed34e2405a28cbd694a5f0,DELTA\Zero_load\N=1\M2\Repeat_2,{}
20260901_192933,2026-09-01T19:29:33.274853+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M2,zero_load,directory_and_metadata,Zero load,Repeat_3,30.028699800022878,1020922,6006,6006,6006,6006,6006,0,6006,0,200.0086597154441,0,{},True,22.991841491841498,169.983682983683,169.983682983683,200.0086597154441,200.0086597154441,200.0086597154441,33998.20860706137,0.271985668856491,30,5976,0.004995004995004995,20.697623828647924,5.865125731169866,21.0,11.0,30.0,0.00016733601070950468,22.991841491841498,PASS: no recorded transport/parser/cache error,0,0,0,0,27,c3f4c7f354bb7018b07716918d2e9cbcdc91a63eb157d6cba7b417e4db87c468,DELTA\Zero_load\N=1\M2\Repeat_3,{}
20260905_190327,2026-09-05T19:03:27.204541+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M2,zero_load,directory_and_metadata,Zero load,Repeat_4,30.003094499988947,1297316,6008,6008,6008,6008,6008,0,6008,0,200.24601129067582,0,{},True,45.96571238348868,215.93142476697736,215.93142476697736,200.24601129067582,200.24601129067582,200.24601129067582,43239.406521899866,0.3459152521751989,30,5978,0.004993342210386152,43.7875543660087,23.824109406941734,56.0,3.0,71.0,0.01639344262295082,45.96571238348868,PASS: no recorded transport/parser/cache error,0,0,0,0,42,cfbf31709c600053874f213b440a1071705dfb06d3f66611d69c4e08708a5f5c,DELTA\Zero_load\N=1\M2\Repeat_4,"{""requested_vs_observed_algorithm"": 1}"
