date,date_bucket,mode,target_Hz,N,modules,load,n_runs,run_ids,module_combinations,K_ESKD_mean_mean_over_runs,K_ESKD_mean_sd_between_runs,q_ESKF_module_frames_mean_over_runs,q_ESKF_module_frames_sd_between_runs,Lmean_B_mean_over_runs,Lmean_B_sd_between_runs,f_packet_Hz_mean_over_runs,f_packet_Hz_sd_between_runs,Mbit_per_s_mean_over_runs,Mbit_per_s_sd_between_runs,K_ESKD_pooled_mean,q_ESKF_pooled
2026-09-01,before_2026-09-05,DELTA,200,3,M0+M1+M2,zero_load,1,"[""20260901_203359""]","[""M0+M1+M2""]",62.35860529986053,,0.004995836802664446,,678.6704412989176,,200.15148784495372,,1.0866951886589573,,62.35860529986053,0.004995836802664446
2026-09-01,before_2026-09-05,DELTA,200,3,M0+M1+M3,zero_load,1,"[""20260901_204308""]","[""M0+M1+M3""]",51.71995750153777,,0.004841402337228714,,614.7606010016694,,199.60301526113878,,0.9816645569894646,,51.71995750153777,0.004841402337228714
2026-09-01,before_2026-09-05,DELTA,200,3,M0+M2+M3,zero_load,1,"[""20260901_205014""]","[""M0+M2+M3""]",51.773040120866206,,0.005010856856522465,,615.5129447135461,,199.51805276290327,,0.9824475534368579,,51.773040120866206,0.005010856856522465
2026-09-01,before_2026-09-05,DELTA,200,3,M1+M2+M3,zero_load,1,"[""20260901_204633""]","[""M1+M2+M3""]",48.300833473177825,,0.005009183503088996,,594.7797628986475,,199.63171099300345,,0.9498952138517595,,48.300833473177825,0.005009183503088996
2026-09-01,before_2026-09-05,DELTA,200,4,M0+M1+M2+M3,full_area_simultaneous,1,"[""20260901_215751""]","[""M0+M1+M2+M3""]",220.38754087076234,,0.005136106831022085,,2149.7675055641157,,194.64484089630957,,3.3475292326766684,,220.38754087076234,0.005136106831022085
2026-09-01,before_2026-09-05,DELTA,200,4,M0+M1+M2+M3,zero_load,1,"[""20260901_205141""]","[""M0+M1+M2+M3""]",74.2191235059761,,0.0049657820063428474,,985.8731430479052,,199.69218870721352,,1.574969325783168,,74.2191235059761,0.0049657820063428474
2026-09-01,before_2026-09-05,FULL,100,1,M0,load_not_recorded,1,"[""20260901_184454""]","[""M0""]",,,1.0,,1084.0,,100.0541042069057,,0.8676691916822862,,,1.0
2026-09-01,before_2026-09-05,FULL,100,1,M1,load_not_recorded,1,"[""20260901_184609""]","[""M1""]",,,1.0,,1084.0,,100.20098311192626,,0.8689429255466244,,,1.0
2026-09-01,before_2026-09-05,FULL,100,1,M2,load_not_recorded,1,"[""20260901_184723""]","[""M2""]",,,1.0,,1084.0,,100.06613461812685,,0.8677735194083961,,,1.0
2026-09-01,before_2026-09-05,FULL,100,1,M3,load_not_recorded,1,"[""20260901_184822""]","[""M3""]",,,1.0,,1084.0,,99.79997837670034,,0.8654654124827453,,,1.0
2026-09-01,before_2026-09-05,FULL,200,1,M0,load_not_recorded,1,"[""20260901_182704""]","[""M0""]",,,1.0,,1084.0,,200.08868487714156,,1.7351690752545716,,,1.0
2026-09-01,before_2026-09-05,FULL,200,1,M1,load_not_recorded,1,"[""20260901_183546""]","[""M1""]",,,1.0,,1084.0,,200.42812487446776,,1.7381126989113844,,,1.0
2026-09-01,before_2026-09-05,FULL,200,1,M2,load_not_recorded,1,"[""20260901_183900""]","[""M2""]",,,1.0,,1084.0,,200.13987727703605,,1.7356130157464567,,,1.0
2026-09-01,before_2026-09-05,FULL,200,1,M3,load_not_recorded,1,"[""20260901_184014""]","[""M3""]",,,1.0,,1084.0,,199.67465995447085,,1.7315786511251712,,,1.0
2026-09-01,before_2026-09-05,FULL,200,2,M0+M1,load_not_recorded,1,"[""20260901_185923""]","[""M0+M1""]",,,1.0,,2128.0,,200.16265207099264,,3.4075689888565788,,,1.0
